Miles,Mood,Smell,Item Subtotal
2,2,Trash,$0.01
,,,$0.01
,,,$0.45
,,,$0.78
,,,$1.25
,,,$1.65
,,,$1.99
,,,$2.03
,,,$2.04
,,,$2.25
,,,$2.46
,,,$2.65
,,,$2.99
,,,$3.14
,,,$3.32
,,,$3.75
,,,$3.87
,,,$3.95
,,,$3.98
,,,$3.99
,,,$3.99
,,,$3.99
,,,$3.99
,,,$4.15
,,,$4.15
,,,$4.25
,,,$4.32
,,,$4.38
,,,$4.43
,,,$4.45
,,,$4.56
,,,$4.56
,,,$4.64
,,,$4.69
,,,$4.70
,,,$4.80
,,,$4.84
,,,$4.85
,,,$4.99
,,,$4.99
,,,$5.00
,,,$5.12
,,,$5.17
,,,$5.27
,,,$5.29
,,,$5.35
,,,$5.46
,,,$5.49
,,,$5.50
,,,$5.63
,,,$5.63
,,,$5.80
,,,$5.89
,,,$5.95
,,,$5.97
,,,$5.98
,,,$5.98
,,,$5.99
,,,$5.99
,,,$5.99
,,,$5.99
,,,$5.99
,,,$6.09
,,,$6.13
,,,$6.29
,,,$6.39
,,,$6.44
,,,$6.44
,,,$6.48
,,,$6.48
,,,$6.48
,,,$6.49
,,,$6.49
,,,$6.49
,,,$6.50
,,,$6.56
,,,$6.57
,,,$6.62
,,,$6.69
,,,$6.72
,,,$6.75
,,,$6.77
,,,$6.80
,,,$6.83
,,,$6.84
,,,$6.87
,,,$6.96
,,,$6.98
,,,$6.98
,,,$6.99
,,,$6.99
,,,$6.99
,,,$6.99
,,,$6.99
,,,$6.99
,,,$6.99
,,,$6.99
,,,$6.99
,,,$6.99
,,,$7.03
,,,$7.08
,,,$7.26
,,,$7.29
,,,$7.43
,,,$7.43
,,,$7.47
,,,$7.52
,,,$7.55
,,,$7.56
,,,$7.71
,,,$7.75
,,,$7.75
,,,$7.85
,,,$7.87
,,,$7.93
,,,$7.93
,,,$7.94
,,,$7.95
,,,$7.95
,,,$7.95
,,,$7.95
,,,$7.95
,,,$7.96
,,,$7.99
,,,$7.99
,,,$7.99
,,,$7.99
,,,$7.99
,,,$7.99
,,,$7.99
,,,$7.99
,,,$7.99
,,,$8.00
,,,$8.00
,,,$8.00
,,,$8.00
,,,$8.20
,,,$8.29
,,,$8.39
,,,$8.49
,,,$8.49
,,,$8.50
,,,$8.62
,,,$8.63
,,,$8.64
,,,$8.68
,,,$8.75
,,,$8.77
,,,$8.86
,,,$8.89
,,,$8.93
,,,$8.95
,,,$8.95
,,,$8.96
,,,$8.98
,,,$8.99
,,,$8.99
,,,$8.99
,,,$8.99
,,,$9.01
,,,$9.05
,,,$9.08
,,,$9.13
,,,$9.16
,,,$9.18
,,,$9.20
,,,$9.29
,,,$9.31
,,,$9.32
,,,$9.39
,,,$9.44
,,,$9.49
,,,$9.51
,,,$9.58
,,,$9.68
,,,$9.83
,,,$9.83
,,,$9.85
,,,$9.89
,,,$9.91
,,,$9.95
,,,$9.95
,,,$9.95
,,,$9.95
,,,$9.96
,,,$9.96
,,,$9.96
,,,$9.96
,,,$9.98
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$10.00
,,,$10.05
